image_id,degraded,neutral,improved
khanhha_original::CFD_011.jpg,0.29654451491490386,0.2657043086963378,0.43775117638875827
khanhha_original::CFD_080.jpg,0.402118179356048,0.2933938935235965,0.30448792712035544
khanhha_original::CRACK500_20160222_081908_641_721.jpg,0.14521920445891873,0.6235089466145349,0.23127184892654634
khanhha_original::CRACK500_20160222_115519_641_721.jpg,0.3384377825818753,0.38433512648589513,0.27722709093222964
khanhha_original::CRACK500_20160222_163940_1281_1081.jpg,0.15700571251867282,0.5652706478192412,0.27772363966208596
khanhha_original::CRACK500_20160222_163940_1_1081.jpg,0.142785623819153,0.8322184147682109,0.024995961412636096
khanhha_original::CRACK500_20160222_163940_1_361.jpg,0.34444490626714425,0.6027799691991328,0.05277512453372296
khanhha_original::CRACK500_20160222_163940_641_1081.jpg,0.11148288872396536,0.7681608773153366,0.12035623396069806
khanhha_original::CRACK500_20160222_165919_1_721.jpg,0.7873786720981848,0.12306943013382388,0.0895518977679913
khanhha_original::CRACK500_20160225_114514_721_1281.jpg,0.5250390240795034,0.3532944537877926,0.12166652213270392
khanhha_original::CRACK500_20160225_114514_721_641.jpg,0.4655334259060484,0.36726246526092793,0.16720410883302375
khanhha_original::CRACK500_20160302_155857_1281_1.jpg,0.27995970922563734,0.2770539866213997,0.44298630415296286
khanhha_original::CRACK500_20160302_155857_1_721.jpg,0.19098199406955607,0.42331111239677055,0.3857068935336733
khanhha_original::CRACK500_20160302_155914_1081_641.jpg,0.326559596311922,0.1491929582888969,0.5242474453991811
khanhha_original::CRACK500_20160303_092806_1281_721.jpg,0.15978575548984508,0.26634151965534675,0.5738727248548082
khanhha_original::CRACK500_20160303_092806_1_721.jpg,0.19137796059182557,0.3743349347447168,0.43428710466345766
khanhha_original::CRACK500_20160306_103830_1921_1081.jpg,0.2008232638103498,0.4271405737329814,0.3720361624566688
khanhha_original::CRACK500_20160307_143827_1_721.jpg,0.3126067436616993,0.3813232088214229,0.3060700475168777
khanhha_original::CRACK500_20160307_144150_1281_721.jpg,0.12188554984286722,0.7731092190941095,0.10500523106302344
khanhha_original::CRACK500_20160307_144150_641_361.jpg,0.12465966087753774,0.7427878143049934,0.13255252481746876
khanhha_original::CRACK500_20160307_144931_1281_1.jpg,0.14958345660681172,0.5307490518974556,0.3196674914957326
khanhha_original::CRACK500_20160307_144931_641_721.jpg,0.20487767217431224,0.6110497219535456,0.18407260587214228
khanhha_original::CRACK500_20160307_163537_1281_721.jpg,0.28842446880848577,0.394786902107555,0.3167886290839592
khanhha_original::CRACK500_20160307_163537_641_361.jpg,0.22063010934603844,0.38426438731295925,0.39510550334100225
khanhha_original::CRACK500_20160307_163537_641_721.jpg,0.18202127433356993,0.3400979472165582,0.4778807784498717
khanhha_original::CRACK500_20160307_164334_641_1.jpg,0.23422673655771178,0.6251068383128834,0.14066642512940483
khanhha_original::CRACK500_20160307_164334_641_361.jpg,0.4221188291250183,0.4439273850519455,0.13395378582303613
khanhha_original::CRACK500_20160308_072921_1281_1081.jpg,0.1748433181601848,0.4033479518480402,0.421808729991775
khanhha_original::CRACK500_20160308_072921_1281_361.jpg,0.126640002917818,0.5688787529323782,0.30448124414980393
khanhha_original::CRACK500_20160308_072921_641_1081.jpg,0.08666186581038328,0.6613742760075441,0.2519638581820727
khanhha_original::CRACK500_20160308_072921_641_721.jpg,0.12561448216135276,0.40628874538515036,0.46809677245349685
khanhha_original::CRACK500_20160308_073014_1281_721.jpg,0.04962526019488154,0.8514074376105594,0.0989673021945589
khanhha_original::CRACK500_20160308_073406_641_721.jpg,0.28388535333113163,0.3212199677543069,0.3948946789145615
