image_id,category,domain,physical_group,delta_iou,umap_1,umap_2,p_degraded,p_neutral,p_improved
khanhha_original::CFD_001.jpg,improved,khanhha,khanhha::CFD_001,0.0160206424062502,1.7258604,-1.0510799,0.4045664370059967,0.3771754205226898,0.21825820207595825
khanhha_original::CFD_007.jpg,improved,khanhha,khanhha::CFD_007,0.0368783116067982,6.2404895,0.5771768,0.6712954640388489,0.1305178999900818,0.19818665087223053
khanhha_original::CFD_011.jpg,improved,khanhha,khanhha::CFD_011,0.0800074283198405,1.4109582,-0.20219922,0.14258995652198792,0.3547784090042114,0.5026316046714783
khanhha_original::CFD_013.jpg,degraded,khanhha,khanhha::CFD_013,-0.0613781602241744,1.7614409,-1.2762125,0.36666956543922424,0.0763007402420044,0.5570297241210938
khanhha_original::CFD_014.jpg,improved,khanhha,khanhha::CFD_014,0.0547757300976464,1.5117819,-1.8472264,0.6157945990562439,0.16199931502342224,0.2222060114145279
khanhha_original::CFD_019.jpg,neutral,khanhha,khanhha::CFD_019,-0.0013922859597681,2.524515,1.9228323,0.4061564803123474,0.2376822829246521,0.3561611473560333
khanhha_original::CFD_037.jpg,degraded,khanhha,khanhha::CFD_037,-0.0205260675392577,6.377868,1.8698624,0.5620735883712769,0.18481139838695526,0.2531150281429291
khanhha_original::CFD_040.jpg,degraded,khanhha,khanhha::CFD_040,-0.0280389784482379,1.5647268,-1.3376135,0.21103551983833313,0.48903653025627136,0.2999279201030731
khanhha_original::CFD_047.jpg,improved,khanhha,khanhha::CFD_047,0.0217954926167799,1.6633928,-1.6204538,0.4490114152431488,0.288919597864151,0.2620690166950226
khanhha_original::CFD_070.jpg,neutral,khanhha,khanhha::CFD_070,-0.0080938631677056,1.6898284,-1.7660192,0.2618464529514313,0.3606850802898407,0.377468466758728
khanhha_original::CFD_080.jpg,improved,khanhha,khanhha::CFD_080,0.0120839244730493,0.9903967,0.3600706,0.29326099157333374,0.30718785524368286,0.399551123380661
khanhha_original::CFD_082.jpg,degraded,khanhha,khanhha::CFD_082,-0.0398716358043381,1.6971503,-0.6124993,0.5383737683296204,0.10174454003572464,0.3598816692829132
khanhha_original::CFD_084.jpg,improved,khanhha,khanhha::CFD_084,0.0597371403006901,1.6356503,-1.8837235,0.47640737891197205,0.1348506510257721,0.38874197006225586
khanhha_original::CFD_088.jpg,degraded,khanhha,khanhha::CFD_088,-0.0454029550117173,1.8080775,-1.3440292,0.5084868669509888,0.17021991312503815,0.3212931752204895
khanhha_original::CFD_108.jpg,neutral,khanhha,khanhha::CFD_108,-0.0068110767920225,1.8026068,-1.368078,0.3036978244781494,0.3935774266719818,0.3027247488498688
khanhha_original::CFD_109.jpg,improved,khanhha,khanhha::CFD_109,0.0193410891539252,1.7683364,-1.170471,0.23449961841106415,0.4040523171424866,0.3614479899406433
khanhha_original::CFD_111.jpg,neutral,khanhha,khanhha::CFD_111,0.0075290681424338,1.708489,-1.2232816,0.2884378731250763,0.45698049664497375,0.25458163022994995
khanhha_original::CFD_118.jpg,neutral,khanhha,khanhha::CFD_118,-0.0089024981629597,1.719723,-1.6417341,0.2679176330566406,0.2955854535102844,0.43649694323539734
khanhha_original::CRACK500_20160222_080933_361_1.jpg,neutral,khanhha,khanhha::CRACK500_20160222_080933,-0.0001034083007714,-0.04260879,3.0037093,0.19262225925922394,0.5725067853927612,0.23487088084220886
khanhha_original::CRACK500_20160222_081031_641_361.jpg,neutral,khanhha,khanhha::CRACK500_20160222_081031,0.0009619976249003,8.313218,1.4027021,0.10078957676887512,0.7822052836418152,0.11700518429279327
khanhha_original::CRACK500_20160222_081102_1921_721.jpg,neutral,khanhha,khanhha::CRACK500_20160222_081102,-0.0073055137365258,7.9037447,1.4766803,0.23046375811100006,0.12830425798892975,0.6412320137023926
khanhha_original::CRACK500_20160222_081102_1_721.jpg,neutral,khanhha,khanhha::CRACK500_20160222_081102,-0.00359477124183,4.0304794,-0.60138416,0.384699285030365,0.2134205400943756,0.4018802046775818
khanhha_original::CRACK500_20160222_081111_641_361.jpg,neutral,khanhha,khanhha::CRACK500_20160222_081111,0.0061497069074433,7.8243847,1.5288724,0.24242599308490753,0.1894097775220871,0.5681642889976501
khanhha_original::CRACK500_20160222_081113_1921_721.jpg,neutral,khanhha,khanhha::CRACK500_20160222_081113,-0.008104944479948,5.1084037,1.8574634,0.2696526050567627,0.37392425537109375,0.35642310976982117
khanhha_original::CRACK500_20160222_081839_1_721.jpg,improved,khanhha,khanhha::CRACK500_20160222_081839,0.0483752525291589,0.20715359,1.6822755,0.3064069449901581,0.5391284823417664,0.15446458756923676
khanhha_original::CRACK500_20160222_081908_641_721.jpg,neutral,khanhha,khanhha::CRACK500_20160222_081908,0.0068331924321738,0.023975722,2.0097513,0.36583396792411804,0.4908195734024048,0.14334653317928314
khanhha_original::CRACK500_20160222_114759_1921_361.jpg,improved,khanhha,khanhha::CRACK500_20160222_114759,0.0315831267438633,7.3453255,-1.5961063,0.6616352200508118,0.1966155618429184,0.14174924790859222
khanhha_original::CRACK500_20160222_114759_1921_721.jpg,degraded,khanhha,khanhha::CRACK500_20160222_114759,-0.0102925047967319,8.035254,-1.4467179,0.3128949701786041,0.27482765913009644,0.41227731108665466
khanhha_original::CRACK500_20160222_114759_641_361.jpg,neutral,khanhha,khanhha::CRACK500_20160222_114759,-0.0025862951923198,3.1132443,-1.0544355,0.6368852257728577,0.12145707756280899,0.24165773391723633
khanhha_original::CRACK500_20160222_115219_1281_721.jpg,neutral,khanhha,khanhha::CRACK500_20160222_115219,0.007898583617688,5.704658,-0.21280724,0.49113619327545166,0.18341751396656036,0.32544630765914917
khanhha_original::CRACK500_20160222_115224_1281_1081.jpg,neutral,khanhha,khanhha::CRACK500_20160222_115224,-0.0006356104599523,0.41552684,1.3321795,0.33457592129707336,0.39087173342704773,0.27455228567123413
khanhha_original::CRACK500_20160222_115224_1281_361.jpg,improved,khanhha,khanhha::CRACK500_20160222_115224,0.1829655373475993,2.6576214,1.6655364,0.7597849369049072,0.13406510651111603,0.1061498373746872
khanhha_original::CRACK500_20160222_115305_1281_1081.jpg,degraded,khanhha,khanhha::CRACK500_20160222_115305,-0.0131990910365789,5.3638315,1.71106,0.3097837269306183,0.14121314883232117,0.5490030646324158
khanhha_original::CRACK500_20160222_115305_1921_361.jpg,neutral,khanhha,khanhha::CRACK500_20160222_115305,2.394671100591772e-05,5.37355,0.9633867,0.36870044469833374,0.15815074741840363,0.47314879298210144
khanhha_original::CRACK500_20160222_115305_641_1.jpg,neutral,khanhha,khanhha::CRACK500_20160222_115305,0.0095086482795017,6.932633,-1.3223904,0.16987842321395874,0.2835525870323181,0.5465690493583679
khanhha_original::CRACK500_20160222_115305_641_721.jpg,neutral,khanhha,khanhha::CRACK500_20160222_115305,0.0098552548143666,7.577771,-1.2030126,0.29436638951301575,0.3635859191417694,0.34204763174057007
khanhha_original::CRACK500_20160222_115324_1281_721.jpg,neutral,khanhha,khanhha::CRACK500_20160222_115324,1.965129010195188e-05,1.872373,1.3788602,0.39448994398117065,0.30354517698287964,0.3019648492336273
khanhha_original::CRACK500_20160222_115324_641_1081.jpg,improved,khanhha,khanhha::CRACK500_20160222_115324,0.0102789315135722,6.832409,-1.1822405,0.2149546891450882,0.46946820616722107,0.31557705998420715
khanhha_original::CRACK500_20160222_115519_641_721.jpg,neutral,khanhha,khanhha::CRACK500_20160222_115519,0.0092525299051148,6.3735704,-1.3174348,0.23184920847415924,0.25264081358909607,0.5155099630355835
khanhha_original::CRACK500_20160222_115828_641_1.jpg,neutral,khanhha,khanhha::CRACK500_20160222_115828,-0.0007437058390387,6.084888,-1.7095463,0.3350602388381958,0.2623935341835022,0.4025462567806244
