image_id,dataset,physical_group,category,delta_iou,umap_1,umap_2,umap_3
khanhha_original::CFD_001.jpg,khanhha_original,khanhha::CFD_001,improved,0.0160206424062502,1.577841,5.76345,3.8535001
khanhha_original::CFD_007.jpg,khanhha_original,khanhha::CFD_007,improved,0.0368783116067982,1.6156454,5.7923594,3.838726
khanhha_original::CFD_011.jpg,khanhha_original,khanhha::CFD_011,improved,0.0800074283198405,1.4710242,5.677932,3.8942115
khanhha_original::CFD_013.jpg,khanhha_original,khanhha::CFD_013,degraded,-0.0613781602241744,1.5035633,5.683788,3.8733575
khanhha_original::CFD_014.jpg,khanhha_original,khanhha::CFD_014,improved,0.0547757300976464,1.5598642,5.7447486,3.8714466
khanhha_original::CFD_019.jpg,khanhha_original,khanhha::CFD_019,neutral,-0.0013922859597681,1.5437989,5.7270865,3.8673854
khanhha_original::CFD_037.jpg,khanhha_original,khanhha::CFD_037,degraded,-0.0205260675392577,1.5880661,5.7671676,3.8327148
khanhha_original::CFD_040.jpg,khanhha_original,khanhha::CFD_040,degraded,-0.0280389784482379,1.543562,5.73301,3.858002
khanhha_original::CFD_047.jpg,khanhha_original,khanhha::CFD_047,improved,0.0217954926167799,1.5104353,5.7085037,3.8913045
khanhha_original::CFD_070.jpg,khanhha_original,khanhha::CFD_070,neutral,-0.0080938631677056,1.684406,5.850769,3.8365767
khanhha_original::CFD_080.jpg,khanhha_original,khanhha::CFD_080,improved,0.0120839244730493,3.6860757,8.0988865,5.0666714
khanhha_original::CFD_082.jpg,khanhha_original,khanhha::CFD_082,degraded,-0.0398716358043381,1.5206009,5.7122355,3.8747458
khanhha_original::CFD_084.jpg,khanhha_original,khanhha::CFD_084,improved,0.0597371403006901,1.571425,5.750927,3.8242936
khanhha_original::CFD_088.jpg,khanhha_original,khanhha::CFD_088,degraded,-0.0454029550117173,1.6710967,5.8412027,3.8113506
khanhha_original::CFD_108.jpg,khanhha_original,khanhha::CFD_108,neutral,-0.0068110767920225,1.6775494,5.847015,3.806846
khanhha_original::CFD_109.jpg,khanhha_original,khanhha::CFD_109,improved,0.0193410891539252,1.6696368,5.8400044,3.8107963
khanhha_original::CFD_111.jpg,khanhha_original,khanhha::CFD_111,neutral,0.0075290681424338,1.6857996,5.8574195,3.7945054
khanhha_original::CFD_118.jpg,khanhha_original,khanhha::CFD_118,neutral,-0.0089024981629597,1.6830395,5.8516216,3.8153872
khanhha_original::CRACK500_20160222_080933_361_1.jpg,khanhha_original,khanhha::CRACK500_20160222_080933,neutral,-0.0001034083007714,-3.4375799,1.2073442,6.680993
khanhha_original::CRACK500_20160222_081031_641_361.jpg,khanhha_original,khanhha::CRACK500_20160222_081031,neutral,0.0009619976249003,6.9265375,-3.3118207,10.450918
khanhha_original::CRACK500_20160222_081102_1921_721.jpg,khanhha_original,khanhha::CRACK500_20160222_081102,neutral,-0.0073055137365258,7.0183434,-3.224801,9.652924
khanhha_original::CRACK500_20160222_081102_1_721.jpg,khanhha_original,khanhha::CRACK500_20160222_081102,neutral,-0.00359477124183,-4.295544,3.6267762,6.8633904
khanhha_original::CRACK500_20160222_081111_641_361.jpg,khanhha_original,khanhha::CRACK500_20160222_081111,neutral,0.0061497069074433,-3.3378963,1.282348,6.478041
khanhha_original::CRACK500_20160222_081113_1921_721.jpg,khanhha_original,khanhha::CRACK500_20160222_081113,neutral,-0.008104944479948,7.0669637,-3.1832442,9.537159
khanhha_original::CRACK500_20160222_081839_1_721.jpg,khanhha_original,khanhha::CRACK500_20160222_081839,improved,0.0483752525291589,7.144859,-2.9022121,9.525308
khanhha_original::CRACK500_20160222_081908_641_721.jpg,khanhha_original,khanhha::CRACK500_20160222_081908,neutral,0.0068331924321738,7.134948,-2.9285083,9.557806
khanhha_original::CRACK500_20160222_114759_1921_361.jpg,khanhha_original,khanhha::CRACK500_20160222_114759,improved,0.0315831267438633,6.9785943,-3.4015968,10.411023
khanhha_original::CRACK500_20160222_114759_1921_721.jpg,khanhha_original,khanhha::CRACK500_20160222_114759,degraded,-0.0102925047967319,6.8959327,-3.3204331,10.549047
khanhha_original::CRACK500_20160222_114759_641_361.jpg,khanhha_original,khanhha::CRACK500_20160222_114759,neutral,-0.0025862951923198,6.9981375,-3.2855601,10.214652
khanhha_original::CRACK500_20160222_115219_1281_721.jpg,khanhha_original,khanhha::CRACK500_20160222_115219,neutral,0.007898583617688,7.2434,-2.8311813,9.610669
khanhha_original::CRACK500_20160222_115224_1281_1081.jpg,khanhha_original,khanhha::CRACK500_20160222_115224,neutral,-0.0006356104599523,7.307199,-2.8352695,9.531191
khanhha_original::CRACK500_20160222_115224_1281_361.jpg,khanhha_original,khanhha::CRACK500_20160222_115224,improved,0.1829655373475993,7.169643,-2.7782354,9.673446
khanhha_original::CRACK500_20160222_115305_1281_1081.jpg,khanhha_original,khanhha::CRACK500_20160222_115305,degraded,-0.0131990910365789,7.196262,-2.7725024,9.664724
khanhha_original::CRACK500_20160222_115305_1921_361.jpg,khanhha_original,khanhha::CRACK500_20160222_115305,neutral,2.394671100591772e-05,7.2683477,-2.768975,9.59543
khanhha_original::CRACK500_20160222_115305_641_1.jpg,khanhha_original,khanhha::CRACK500_20160222_115305,neutral,0.0095086482795017,7.269698,-2.7662823,9.580896
khanhha_original::CRACK500_20160222_115305_641_721.jpg,khanhha_original,khanhha::CRACK500_20160222_115305,neutral,0.0098552548143666,7.216869,-2.8034718,9.63169
khanhha_original::CRACK500_20160222_115324_1281_721.jpg,khanhha_original,khanhha::CRACK500_20160222_115324,neutral,1.965129010195188e-05,7.349607,-2.7042944,9.521403
khanhha_original::CRACK500_20160222_115324_641_1081.jpg,khanhha_original,khanhha::CRACK500_20160222_115324,improved,0.0102789315135722,7.2701573,-2.855589,9.589878
khanhha_original::CRACK500_20160222_115519_641_721.jpg,khanhha_original,khanhha::CRACK500_20160222_115519,neutral,0.0092525299051148,7.9763255,5.4182897,10.105223
khanhha_original::CRACK500_20160222_115828_641_1.jpg,khanhha_original,khanhha::CRACK500_20160222_115828,neutral,-0.0007437058390387,7.9944067,5.369636,10.080004
khanhha_original::CRACK500_20160222_115833_1921_1081.jpg,khanhha_original,khanhha::CRACK500_20160222_115833,degraded,-0.0295464376161981,7.9900637,5.39439,10.083826
khanhha_original::CRACK500_20160222_115833_641_361.jpg,khanhha_original,khanhha::CRACK500_20160222_115833,neutral,-0.0066722173692509,8.00565,5.3487477,10.088808
khanhha_original::CRACK500_20160222_115843_1281_361.jpg,khanhha_original,khanhha::CRACK500_20160222_115843,neutral,-0.0027310739605249,8.012696,5.3605886,10.0829115
khanhha_original::CRACK500_20160222_115847_1281_361.jpg,khanhha_original,khanhha::CRACK500_20160222_115847,improved,0.0520624583002047,8.0211735,5.375192,10.088676
khanhha_original::CRACK500_20160222_115847_641_361.jpg,khanhha_original,khanhha::CRACK500_20160222_115847,neutral,-0.0036984666541647,8.021425,5.3675003,10.088991
khanhha_original::CRACK500_20160222_163940_1281_1081.jpg,khanhha_original,khanhha::CRACK500_20160222_163940,neutral,0.0026273373743493,7.279037,-3.3767297,9.52979
khanhha_original::CRACK500_20160222_163940_1_1081.jpg,khanhha_original,khanhha::CRACK500_20160222_163940,improved,0.0230023029906272,6.839848,-3.1000686,10.375484
khanhha_original::CRACK500_20160222_163940_1_361.jpg,khanhha_original,khanhha::CRACK500_20160222_163940,improved,0.0122966381810233,6.850934,-3.1642556,10.3036995
