channel,anova_score_descriptive,spearman_delta_descriptive,coefficient_improved_minus_degraded_descriptive,mean_absolute_standardized_coefficient_descriptive,top10_training_fold_frequency
120,184.2538487169179,-0.11922414260651482,1.141519070472818,0.5721064158775563,1.0
85,179.0708130381915,0.021660557323960862,-0.31224981388724504,0.11124652637315173,1.0
152,175.6606809909409,-0.04261395134823977,-0.5807465801111653,0.24463526200023103,1.0
19,169.77739187673666,-0.030769163169207175,0.07828278021586674,0.034877029300617736,1.0
5,165.65383155858072,0.047742813359399436,0.4262010763446757,0.16808180583030677,1.0
210,162.85960996217136,-0.044299630490878004,0.47736412407471,0.2467001209371061,1.0
11,147.2607374078104,0.0022531752151429426,0.2862190508586707,0.16348856475159254,0.6
93,146.7464045883565,-0.08381004720768408,-0.06257556394227781,0.23385355558223964,0.8
21,142.31917654928557,-0.08286419285256301,-0.6157753413017829,0.31563943455885296,0.6
1,140.77204704246384,0.011442109731388076,0.12294927599116262,0.49758046969066577,0.8
26,137.85692841084835,-0.0929434731970915,0.0235674384447693,0.18216917169200664,0.4
178,136.11554009489802,-0.06108023712979185,-0.24326741214304154,0.33143427808773845,0.4
229,134.59304992782663,0.05173968759433717,-0.03005021829455165,0.029659982538501172,0.4
104,128.75676897026818,0.055150513443979136,-0.927840934078727,0.5244177780706439,0.0
20,113.15663789229912,-0.027950999921980534,-1.0024705811893884,0.5816810971547243,0.0
73,110.29220325259064,-0.04712408971181863,0.3906986609630664,0.1436950907147815,0.0
76,108.45162264368942,-0.004662663347349116,1.0794520806531858,0.5339844172564715,0.0
98,106.21986822175954,-0.05727168062116112,-0.8981681320061594,0.35366389201935555,0.0
171,106.21805772562055,0.025846913482493954,-0.9100800471002841,0.3584714816498284,0.0
69,103.92108589928098,0.005052534315033704,-0.5582150178176609,0.4882646060401008,0.0
247,103.85984044444834,0.06860859731671298,1.0395064762936723,0.5423963141602761,0.0
90,102.02307283375549,-0.018915073598385942,0.1981751337189274,0.09609236120577036,0.0
60,101.15698985877533,-0.044964333448182014,0.3710075420895178,0.167523804325766,0.0
65,100.87614921864845,0.0888440135070978,0.46061499819786555,0.23613947867962234,0.0
140,98.19720736884541,-0.05320408061702532,0.1962987963429696,0.5728561944111502,0.0
47,97.07252428863966,-0.05116704590015207,0.47618573584110907,0.4416750874463012,0.0
46,96.67967893804212,0.011301240739989794,0.27098632761556385,0.25315142751845415,0.0
243,96.65854553435351,-0.007687896911919311,0.9620882074745873,0.3736937199067933,0.0
58,96.65802499590698,-0.09067537136852731,0.035129145991160654,0.024659118229145193,0.0
126,95.05638588353494,0.007762431387424201,0.04067464522796724,0.24749407767983886,0.0
250,93.6599426290821,0.049488786683964385,-0.09165289277299862,0.21123308996593262,0.0
166,93.38428246602558,0.06832291935295018,0.3543103306601668,0.21077082132880953,0.0
213,92.48738238646435,0.07392155938877891,-0.5542114953858728,0.2887880933456961,0.0
100,92.24379103245735,0.05137188497229794,0.05907001885031309,0.03658092654605386,0.0
136,91.29418189923719,-0.09031496194992493,1.1226162724730644,0.4188999605123999,0.0
187,88.72754717915348,-0.03760647102499492,0.21396484100096058,0.1307841083691698,0.0
122,88.32599164552907,-0.02897582343486323,-0.25316554134596514,0.08978241353188626,0.0
130,88.1056873551262,-0.081258761387332,-0.1958534481917123,0.24572144076247562,0.0
25,87.85916780132143,-0.07078520941970615,0.2575582095204276,0.44368769689631654,0.0
89,87.4065026946675,0.05894605758757727,0.8193640495047385,0.2897727865189678,0.0
196,87.04174651014584,0.09543868839593121,-1.05247526802556,0.5187057888202068,0.0
80,84.43180609251165,0.032680066675066954,-0.30401875753607543,0.4455025864191227,0.0
226,81.01909311457209,-0.10072688062492871,0.6633835385072614,0.460191287059241,0.0
71,80.94789053065202,-0.005508303616590765,0.11717511081044268,0.057049170152365686,0.0
206,80.61203261389439,-0.08905210463067706,-0.993015142476585,0.369192010399084,0.0
2,79.95573666586466,0.009212724523173083,-0.10545279244365614,0.05872715180804484,0.0
83,79.69394473310484,0.022462375854056457,-0.1066623772280395,0.32880096631246575,0.0
168,77.4105509236511,-0.08985429071645629,0.36490206607775505,0.15061221473789668,0.0
111,75.26701429150813,0.03975131435707336,-0.544592899052775,0.5162014744682455,0.0
15,74.79237651007915,-0.02297570032532383,-0.4437049239374318,0.3986412787189333,0.0
222,74.41162317178566,-0.07864551192833699,-0.3199307247962939,0.11428844085265062,0.0
115,73.2580282968313,-0.01914305028996009,0.13652037575245277,0.08664877974512981,0.0
232,71.28807267492225,0.049727537484535,-1.0799028368471346,0.47114311509021345,0.0
92,71.01448286993033,0.029930154784337464,0.3779970819676091,0.2488867084982457,0.0
78,70.7356636183407,0.053985579015285105,-0.3241621751699781,0.141114655545396,0.0
212,69.77700006547249,-0.002603606980027452,-0.5055991746461247,0.4605288054813716,0.0
70,69.77293653383785,0.00017826939788172098,1.045959594619665,0.4110968482200977,0.0
185,69.44403012197043,0.05444694440746738,-0.8465040969661745,0.3615447432606813,0.0
101,69.0806146809907,-0.05011435094067606,-0.04551710132603094,0.01597219891253673,0.0
87,68.43051008476769,0.030273097178973314,1.5908289544347585,0.7599224545164934,0.0
8,68.10895771768637,0.07081382113167237,0.24028064682542902,0.3096671731825698,0.0
220,67.4651011178458,0.040265718306622,-0.11997920536469225,0.13837955614070122,0.0
51,66.15033077023752,-0.0494115076693122,-0.9405898402931048,0.35992691466252597,0.0
179,65.40981349837335,0.050795871881598016,-0.8461125087117197,0.5449605221533244,0.0
162,64.8291468992299,-0.06278580435848059,-0.18650052913104148,0.3075459209073364,0.0
198,64.34441355436415,0.0431522295471704,-0.352825937827694,0.2659692461019477,0.0
127,63.71631528826644,0.07047488958877522,1.3930191719157161,0.601989888150222,0.0
14,62.78069833783481,0.01700427446831424,1.3323120131337163,0.672393547724809,0.0
49,62.415993679971926,0.0021625105618150666,-0.35154296366489857,0.35389334847723514,0.0
194,62.14476045193664,-0.021178366022868076,-0.7863630145304945,0.6024666341328567,0.0
39,61.15783251280201,0.04468907578544449,-0.1554910411996096,0.09389242062968195,0.0
54,60.47856758158479,-0.0832775368633153,-0.06014080522510788,0.04368629621428352,0.0
159,59.97198351345293,-0.023260293381918238,-0.2615461563567556,0.1676636113622969,0.0
32,59.57251106730437,0.014303802184881023,-0.04205097642597368,0.03854514938033835,0.0
192,58.10567172485022,-0.04213294319873154,-0.13547980017583766,0.21194965093826626,0.0
254,57.47283319016417,-0.01389007028243735,-0.6552103624589957,0.3608921092317828,0.0
180,57.18547303202893,-0.057941755479958834,-0.07512314543209156,0.11566305557950037,0.0
199,56.82773183044384,0.01899472610814132,0.5841810435783776,0.6098972558533565,0.0
148,56.197227908592964,-0.10673178051893878,-0.543593425827455,0.28670520976311226,0.0
231,54.41362822028009,0.08104105846825531,0.5528383459094994,0.18935268937458924,0.0
