image_id,degraded,neutral,improved
facade390::DJ_Wall_1.JPG,0.4035116623965031,0.4176033581092723,0.17888497949422452
facade390::DJ_Wall_10.JPG,0.4013664771644805,0.3482454991292139,0.2503880237063057
facade390::DJ_Wall_100.JPG,0.1781502728986534,0.435871544292315,0.38597818280903157
facade390::DJ_Wall_101.JPG,0.3819473044742861,0.5190070084968514,0.09904568702886242
facade390::DJ_Wall_102.JPG,0.10597999302449417,0.7320775071891356,0.16194249978637035
facade390::DJ_Wall_103.JPG,0.422173642262084,0.4730825234349659,0.10474383430295008
facade390::DJ_Wall_104.JPG,0.2065918253874741,0.5608686357373057,0.23253953887522016
facade390::DJ_Wall_105.JPG,0.23889517782152472,0.46611686222506443,0.2949879599534108
facade390::DJ_Wall_106.JPG,0.2605325005066761,0.5078028787009752,0.23166462079234876
facade390::DJ_Wall_107.JPG,0.3142725262851489,0.46197224146964827,0.22375523224520286
facade390::DJ_Wall_108.JPG,0.12366684099926911,0.5788312907364564,0.2975018682642744
facade390::DJ_Wall_109.JPG,0.18786548203824732,0.5643801605730281,0.24775435738872462
facade390::DJ_Wall_11.JPG,0.3176699795074589,0.42679938471043516,0.25553063578210605
facade390::DJ_Wall_110.JPG,0.13534703363330985,0.7150948900041818,0.14955807636250826
facade390::DJ_Wall_111.JPG,0.32902445080865794,0.5707512880026021,0.10022426118874005
facade390::DJ_Wall_112.JPG,0.20723123570032295,0.5869787993518487,0.20578996494782836
facade390::DJ_Wall_113.JPG,0.18208002283872957,0.4818265844332886,0.3360933927279817
facade390::DJ_Wall_114.JPG,0.11688240920546852,0.7446092943957996,0.13850829639873194
facade390::DJ_Wall_115.JPG,0.11762078954569144,0.7160005560008268,0.1663786544534818
facade390::DJ_Wall_116.JPG,0.07896848117707136,0.7967836644792223,0.12424785434370632
facade390::DJ_Wall_117.JPG,0.05353196998755699,0.8991522678022769,0.04731576221016626
facade390::DJ_Wall_118.JPG,0.11160539988544421,0.6713119840580926,0.21708261605646317
